"assignment","code","state","description","observations","unit","equipmentType","equipmentBrand"
"46802","U131013132033","REGULAR","TABURETE DE MADERA","Movido al 232-11","PZA","TABURETE",
"46802","U131713130973","REGULAR","TABURETE REDONDO.","Movido al 232-11","PZA","TABURETE",
"46802","U141912781192","MALO","SILLON DE MADERA C/TAPIZ C/BEIGE.","Movido al 232-11","PZA","SILLON",
"46802","U141913440233","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46802","U141913440252","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46802","U141913440253","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","Movido al 232-12","UND","MESA",
"46802","U141913440254","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46802","U141913440255","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","Movido al 232-11","UND","MESA",
"46802","U141913440256","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46802","U141913440297","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","Movido al 232-12","UND","MESA",
"46802","U141913440315","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46802","U141913440316","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46802","U141913440317","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","Movido al 232-12","UND","MESA",
"46802","U141913440318","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46802","U141913440319","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46802","U141913440322","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46802","U141913440324","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46802","U141913440326","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","Movido al 232-12","UND","MESA",
"46802","U141915340078","BUENO","RACK MURAL DOBLE CUERPO (RACK) 12U NEGRO NINGBO 525*500*592.","","UND","RACK",
"46802","U141920111941","BUENO","ACONDICIONADOR DE AIRE AIRE ACONDICIONADO TIPO SPLIT W. WESTINGHOUSE DE 36000BTU","","UND","AIRE ACONDICIONADO","WESTINGHOUSE"
"46802","U141920111942","BUENO","ACONDICIONADOR DE AIRE AIRE ACONDICIONADO TIPO SPLIT W. WESTINGHOUSE DE 36000BTU","","UND","AIRE ACONDICIONADO","WESTINGHOUSE"
"46802","U141923911028","BUENO","VENTILADOR DE TECHO.","","PZA","VENTILADOR",
"46802","U141923911029","BUENO","VENTILADOR DE TECHO.","","PZA","VENTILADOR",
"46802","U141924112788","BUENO","CPU (EQPO. COMPUTACION) CPU MARCA: HP, MODELO: DC-3000, P/ INTEL CORE 2 DUO, DE 2.93 GHZ, T/MADRE CHIPSET G45, VIDEO INTEGRADO, RAM 2GB, CARD READER, D/ DURO DE 320 GB, LECTOR Y GRABADOR DE DVD, RED GIGABIT.","Movido al 232-12","UND","CPU","HP"
"46802","U141924113391","BUENO","CPU (EQPO. COMPUTACION) CPU-LENOVO PROCESADOR INTEL CORE I3 3.1GHZ, TARJETA MADRE CHIPSET INTEL Q67 IGMA HD, RAM 4GB DDR3, DISCO DURO 320GB SATA II, DISCO OPTICO MULTIBURNER","Movido al 232-11. Pc Docente","UND","CPU","LENOVO"
"46802","U141924212703","BUENO","MONITOR PARA COMPUTADORA MONITOR FLAT PANEL LCD DE 17""","Movido al 232-12","UND","MONITOR",
"46802","U141924212718","BUENO","MONITOR PARA COMPUTADORA MONITOR FLAT PANEL LCD DE 17""","Movido al 232-11","UND","MONITOR",
"46802","U141924213305","BUENO","MONITOR PARA COMPUTADORA MONITOR LENOVO FLAT PANEL LCD DE 18.5""","Movido al 232-11","UND","MONITOR","LENOVO"
"46802","U141967010865","BUENO","EQUIPO PARA REDES PATCH PANEL DE 48 PTOS. CAT6, 19"" C/ADM CABLE, ORGANIZADOR DE CABLE, REGLETA DE 6 TOMAS, PATCH CORD CAT6, 0.5 MT. GRUPOS DE FIJACION, LLAVE ALLEN, NINGBO, JACK HEMBRA CAT6 ROJO CABLIXCOM.","","EQPO","PATCH PANEL","CABLIXCOM"
"46802","U141968110406","BUENO","CAMARA DE VIGILANCIA CAMARA IR DOMO ANTIVANDALISMO DE 700 TVL.","Ubicado atrás","UND","CAMARA",
"46802","U141971011206","REGULAR","RETROPROYECTOR - PROYECTOR PROYECTOR MULTIMEDIA EPSON MODELO BRIGHLINK 455WI+","","UND","PROYECTOR","EPSON"
"46802","U142413132614","BUENO","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132615","BUENO","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132616","BUENO","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132617","BUENO","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132618","BUENO","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132619","BUENO","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132620","BUENO","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132621","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132622","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132623","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132624","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132625","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132626","BUENO","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132627","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132628","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132629","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132630","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132631","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132632","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132633","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132634","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132635","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132636","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132637","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132639","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132640","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132641","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132642","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132643","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132645","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132647","REGULAR","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U142413132649","BUENO","TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.","Movido al 232-11","PZA","TABURETE",
"46802","U144789610053","BUENO","OTRAS HERRAMIENTAS KIT DE ROBOTICA EDUCATIVA SAWERSBOT-OHR","Movido al 232-12","UND",,
"46802","U144789610054","BUENO","OTRAS HERRAMIENTAS KIT DE ROBOTICA EDUCATIVA SAWERSBOT-OHR","Movido al 232-12","UND",,
"46802","U147168110453","BUENO","CAMARA DE VIGILANCIA CAMARA DE VIGILANCIA DE 700 TVL*510 H 492 PIXEL 1/3 CCD CHIP SONY","Ubicado adelante","UND","CAMARA","SONY"
"47600","U147167011259","BUENO","EQUIPO PARA REDES HAP AC LITE DUAL BAND2/5 CPU 650 MHZ *RAM 64 MB*1.","Movido al 232-11","UND","CPU",
"47600","U147167011260","BUENO","EQUIPO PARA REDES HAP AC LITE DUAL BAND2/5 CPU 650 MHZ *RAM 64 MB*1.","Movido al 232-11","UND","CPU",
"47600","U147167011261","BUENO","EQUIPO PARA REDES MIKROTIK -ROUTERBOARD RB-941-2ND-TC-L4 HAP-LITE.","Movido al 232-11","UND","ROUTER","MIKROTIK"
"47600","U147167011262","BUENO","EQUIPO PARA REDES MIKROTIK -ROUTERBOARD RB-941-2ND-TC-L4 HAP-LITE.","Movido al 232-11","UND","ROUTER","MIKROTIK"
"47600","U147167011263","BUENO","EQUIPO PARA REDES MIKROTIK -ROUTERBOARD RB-941-2ND-TC-L4 HAP-LITE.","Movido al 232-11","UND","ROUTER","MIKROTIK"
"47600","U147167011264","BUENO","EQUIPO PARA REDES MIKROTIK -ROUTERBOARD RB-941-2ND-TC-L4 HAP-LITE.","Movido al 232-11","UND","ROUTER","MIKROTIK"